Start,End
00:00:00.000,00:00:03.083
00:00:03.083,00:00:09.958
00:00:09.958,00:00:13.458
00:00:13.458,00:00:16.458
00:00:16.458,00:00:17.583
00:00:17.583,00:00:21.833
00:00:21.833,00:00:24.458
00:00:24.458,00:00:31.958
00:00:31.958,00:00:38.583
00:00:38.583,00:00:39.333
00:00:39.333,00:00:40.292
00:00:40.292,00:00:42.708
00:00:42.708,00:00:55.500
00:00:55.500,00:01:07.458
00:01:07.458,00:01:17.583
00:01:17.583,00:01:21.583
00:01:21.583,00:01:23.375
00:01:23.375,00:01:27.958
00:01:27.958,00:01:28.708
00:01:28.708,00:01:33.333
00:01:33.333,00:01:38.583
00:01:38.583,00:01:40.583
00:01:40.583,00:01:46.708
00:01:46.708,00:01:54.958
00:01:54.958,00:01:57.458
00:01:57.458,00:01:58.833
00:01:58.833,00:02:00.375
00:02:00.375,00:02:01.750
00:02:01.750,00:02:04.583
00:02:04.583,00:02:06.750
00:02:06.750,00:02:07.875
00:02:07.875,00:02:11.083
00:02:11.083,00:02:23.958
00:02:23.958,00:02:25.083
00:02:25.083,00:02:29.083
00:02:29.083,00:02:40.000
00:02:40.000,00:02:42.958
00:02:42.958,00:02:43.958
00:02:43.958,00:02:51.708
00:02:51.708,00:02:54.458
00:02:54.458,00:02:55.500
00:02:55.500,00:02:56.833
00:02:56.833,00:02:57.958
00:02:57.958,00:02:59.208
00:02:59.208,00:03:01.708
00:03:01.708,00:03:03.125
00:03:03.125,00:03:06.458
00:03:06.458,00:03:08.208
00:03:08.208,00:03:09.125
00:03:09.125,00:03:10.833
00:03:10.833,00:03:12.833
00:03:12.833,00:03:16.458
00:03:16.458,00:03:17.458
00:03:17.458,00:03:18.458
00:03:18.458,00:03:19.250
00:03:19.250,00:03:21.083
00:03:21.083,00:03:22.083
00:03:22.083,00:03:32.208
00:03:32.208,00:03:34.708
00:03:34.708,00:03:36.250
00:03:36.250,00:03:38.333
00:03:38.333,00:03:39.833
00:03:39.833,00:03:41.583
00:03:41.583,00:03:44.083
00:03:44.083,00:03:45.833
00:03:45.833,00:03:47.375
00:03:47.375,00:03:49.958
00:03:49.958,00:03:53.208
00:03:53.208,00:03:54.583
00:03:54.583,00:03:55.458
00:03:55.458,00:03:57.958
00:03:57.958,00:03:59.708
00:03:59.708,00:04:00.750
00:04:00.750,00:04:01.708
00:04:01.708,00:04:03.333
00:04:03.333,00:04:09.958
00:04:09.958,00:04:11.083
00:04:11.083,00:04:11.958
00:04:11.958,00:04:13.375
00:04:13.375,00:04:16.708
00:04:16.708,00:04:18.208
00:04:18.208,00:04:19.958
00:04:19.958,00:04:23.083
00:04:23.083,00:04:26.458
00:04:26.458,00:04:29.333
00:04:29.333,00:04:36.875
00:04:36.875,00:04:39.708
00:04:39.708,00:04:45.333
00:04:45.333,00:04:48.458
00:04:48.458,00:04:58.083
00:04:58.083,00:05:01.250
00:05:01.250,00:05:08.083
00:05:08.083,00:05:09.333
00:05:09.333,00:05:10.458
00:05:10.458,00:05:14.458
00:05:14.458,00:05:16.083
00:05:16.083,00:05:23.125
00:05:23.125,00:05:26.250
