Start,End,Action
0,877,None
878,1597,None
1598,2152,None
2153,2396,None
2397,2524,None
2525,2747,None
2748,3149,None
3150,3284,None
3285,3464,None
3465,3707,None
3708,3739,None
3740,4024,None
4025,4134,None
4135,4377,None
4378,4417,None
4418,4547,None
4548,4634,None
4635,4877,None
4878,5004,None
5005,5139,None
5140,5529,None
5530,5609,None
5610,5852,None
5853,5902,None
5903,6367,None
6368,6482,None
6483,6724,None
6725,6787,None
6788,7162,None
7163,7259,None
7260,7349,None
7350,7592,None
7593,7689,None
7690,7992,None
7993,8352,None
8353,8739,None
8740,8877,None
8878,9127,None
9128,9357,None
9358,9737,None
9738,10219,None
10220,11059,None
11060,11657,None
11658,11859,None
11860,11957,None
11958,12279,None
12280,12404,None
12405,12727,None
12728,12917,None
12918,12979,None
12980,13037,None
13038,13399,None
13400,13432,None
13433,13529,None
13530,13657,None
13658,14219,None
14220,14267,None
14268,14419,None
14420,14622,None
14623,15607,None
15608,15807,None
15808,16167,None
16168,16299,None
16300,16542,None
16543,16842,None
16843,16967,None
16968,17017,None
17018,17224,None
17225,17302,None
17303,17724,None
17725,17762,None
17763,18084,None
18085,18207,None
18208,18394,None
18395,18629,None
18630,19027,None
19028,
