Start,End
00:00:00.000,00:02:46.120
00:02:46.120,00:02:48.440
00:02:48.440,00:03:31.880
00:03:31.880,00:04:17.400
00:04:17.400,00:04:20.240
00:04:20.240,00:04:28.240
00:04:28.240,00:05:05.040
00:05:05.040,00:05:38.080
00:05:38.080,00:05:39.600
00:05:39.600,00:05:42.840
00:05:42.840,00:05:43.600
00:05:43.600,00:05:50.120
00:05:50.120,00:05:52.720
00:05:52.720,00:05:57.600
00:05:57.600,00:05:59.120
00:05:59.120,00:06:01.000
00:06:01.000,00:06:02.120
00:06:02.120,00:06:08.360
00:06:08.360,00:06:09.280
00:06:09.280,00:06:12.560
00:06:12.560,00:06:14.040
00:06:14.040,00:06:18.000
00:06:18.000,00:06:20.800
00:06:20.800,00:06:22.680
00:06:22.680,00:06:38.600
00:06:38.600,00:06:40.560
00:06:40.560,00:06:52.240
00:06:52.240,00:07:09.120
00:07:09.120,00:07:10.200
00:07:10.200,00:07:11.360
00:07:11.360,00:07:13.440
00:07:13.440,00:07:15.120
00:07:15.120,00:07:18.600
00:07:18.600,00:07:21.400
00:07:21.400,00:07:24.640
00:07:24.640,00:07:28.640
00:07:28.640,00:07:33.360
00:07:33.360,00:07:49.520
00:07:49.520,00:07:54.800
00:07:54.800,00:07:56.240
00:07:56.240,00:09:03.520
00:09:03.520,00:09:12.000
00:09:12.000,00:09:12.720
00:09:12.720,00:09:15.560
00:09:15.560,00:09:16.400
00:09:16.400,00:09:20.320
00:09:20.320,00:09:21.000
00:09:21.000,00:09:22.000
00:09:22.000,00:09:26.720
00:09:26.720,00:09:27.800
00:09:27.800,00:09:29.760
00:09:29.760,00:09:32.480
00:09:32.480,00:09:33.600
00:09:33.600,00:09:34.680
00:09:34.680,00:09:35.680
00:09:35.680,00:09:37.720
00:09:37.720,00:09:38.760
00:09:38.760,00:09:40.840
00:09:40.840,00:09:43.880
00:09:43.880,00:09:44.800
00:09:44.800,00:09:45.600
00:09:45.600,00:09:46.600
00:09:46.600,00:09:47.520
00:09:47.520,00:09:48.520
00:09:48.520,00:09:52.280
00:09:52.280,00:09:55.600
00:09:55.600,00:10:30.760
00:10:30.760,00:10:36.000
00:10:36.000,00:10:41.160
00:10:41.160,00:10:43.160
00:10:43.160,00:10:47.360
00:10:47.360,00:11:08.040
00:11:08.040,00:11:29.640
00:11:29.640,00:11:35.320
00:11:35.320,00:11:44.760
00:11:44.760,00:11:51.760
00:11:51.760,00:12:24.760
00:12:24.760,00:12:41.240
00:12:41.240,00:12:43.560
00:12:43.560,00:12:44.840
00:12:44.840,00:12:49.520
00:12:49.520,00:12:51.040
00:12:51.040,00:12:57.040
00:12:57.040,00:13:01.240
00:13:01.240,00:13:04.240
00:13:04.240,00:13:10.760
00:13:10.760,00:13:13.760
00:13:13.760,00:13:22.160
00:13:22.160,00:13:25.480
00:13:25.480,00:13:35.000
00:13:35.000,00:13:36.240
00:13:36.240,00:13:40.680
00:13:40.680,00:14:00.880
00:14:00.880,00:14:05.880
00:14:05.880,00:14:11.560
00:14:11.560,00:14:14.560
00:14:14.560,00:14:46.200
00:14:46.200,00:14:51.480
00:14:51.480,00:14:56.720
00:14:56.720,00:14:59.600
00:14:59.600,00:15:02.080
00:15:02.080,00:15:03.800
00:15:03.800,00:15:06.760
00:15:06.760,00:15:08.680
00:15:08.680,00:15:12.880
00:15:12.880,00:15:15.000
00:15:15.000,00:15:21.040
00:15:21.040,00:15:30.240
00:15:30.240,00:16:06.360
00:16:06.360,00:16:13.320
00:16:13.320,00:16:21.720
00:16:21.720,00:16:28.040
00:16:28.040,00:16:32.240
00:16:32.240,00:16:40.600
00:16:40.600,00:17:10.120
00:17:10.120,00:17:23.400
00:17:23.400,00:17:29.520
00:17:29.520,00:17:44.360
00:17:44.360,00:17:55.320
00:17:55.320,00:17:58.560
00:17:58.560,00:18:05.920
00:18:05.920,00:18:09.800
00:18:09.800,00:18:53.360
00:18:53.360,00:18:58.080
00:18:58.080,00:19:00.880
00:19:00.880,00:19:02.640
00:19:02.640,00:19:04.920
00:19:04.920,00:19:11.840
00:19:11.840,00:19:14.160
00:19:14.160,00:19:15.920
00:19:15.920,00:19:30.960
00:19:30.960,00:19:33.520
00:19:33.520,00:19:44.840
