Start,End
00:00:00.000,00:01:21.331
00:01:21.331,00:01:25.711
00:01:25.711,00:02:07.711
00:02:07.711,00:02:21.808
00:02:21.808,00:02:26.438
00:02:26.438,00:02:33.862
00:02:33.862,00:03:33.088
00:03:33.088,00:03:34.589
00:03:34.589,00:03:37.592
00:03:37.592,00:03:40.429
00:03:40.429,00:03:44.850
00:03:44.850,00:03:49.229
00:03:49.229,00:03:53.942
00:03:53.942,00:03:56.736
00:03:56.736,00:04:12.669
00:04:12.669,00:04:45.368
00:04:45.368,00:05:00.842
00:05:00.842,00:05:28.537
00:05:28.537,00:05:34.543
00:05:34.543,00:05:36.336
00:05:36.336,00:05:38.797
00:05:38.797,00:05:44.553
00:05:44.553,00:05:47.264
00:05:47.264,00:05:52.978
00:05:52.978,00:05:56.898
00:05:56.898,00:05:58.858
00:05:58.858,00:06:01.319
00:06:01.319,00:06:06.408
00:06:06.408,00:06:13.873
00:06:13.873,00:06:21.381
00:06:21.381,00:06:23.675
00:06:23.675,00:06:27.387
00:06:27.387,00:06:32.142
00:06:32.142,00:06:37.355
00:06:37.355,00:06:39.774
00:06:39.774,00:06:42.527
00:06:42.527,00:06:45.488
00:06:45.488,00:06:49.409
00:06:49.409,00:06:52.579
00:06:52.579,00:07:01.630
00:07:01.630,00:07:22.651
00:07:22.651,00:07:28.823
00:07:28.823,00:07:38.124
00:07:38.124,00:07:44.964
00:07:44.964,00:07:49.761
00:07:49.761,00:07:51.513
00:07:51.513,00:08:28.299
00:08:28.299,00:08:35.390
00:08:35.390,00:08:51.156
00:08:51.156,00:08:51.823
00:08:51.823,00:08:52.907
00:08:52.907,00:08:55.201
00:08:55.201,00:08:55.952
00:08:55.952,00:08:58.955
00:08:58.955,00:09:00.999
00:09:00.999,00:09:01.666
00:09:01.666,00:09:03.418
00:09:03.418,00:09:06.463
00:09:06.463,00:09:08.673
00:09:08.673,00:09:10.425
00:09:10.425,00:09:12.594
00:09:12.594,00:09:17.432
00:09:17.432,00:09:55.011
00:09:55.011,00:10:09.150
00:10:09.150,00:10:29.879
00:10:29.879,00:10:32.757
00:10:32.757,00:10:34.884
00:10:34.884,00:10:38.763
00:10:38.763,00:10:41.516
00:10:41.516,00:10:44.811
00:10:44.811,00:10:56.614
00:10:56.614,00:11:06.791
00:11:06.791,00:11:23.099
00:11:23.099,00:11:25.310
00:11:25.310,00:11:28.104
00:11:28.104,00:11:29.314
00:11:29.314,00:11:30.565
00:11:30.565,00:11:31.190
00:11:31.190,00:11:33.610
00:11:33.610,00:11:34.360
00:11:34.360,00:11:36.237
00:11:36.237,00:11:38.865
00:11:38.865,00:11:45.914
00:11:45.914,00:11:47.957
00:11:47.957,00:11:51.669
00:11:51.669,00:11:54.088
00:11:54.088,00:11:55.757
00:11:55.757,00:12:09.520
00:12:09.520,00:12:23.326
00:12:23.326,00:12:31.292
00:12:31.292,00:12:35.630
00:12:35.630,00:12:37.173
00:12:37.173,00:12:38.257
00:12:38.257,00:12:47.934
00:12:47.934,00:13:52.415
00:13:52.415,00:14:37.543
00:14:37.543,00:14:51.390
00:14:51.390,00:14:54.352
00:14:54.352,00:15:02.944
00:15:02.944,00:15:07.490
00:15:07.490,00:15:09.617
00:15:09.617,00:15:18.501
00:15:18.501,00:15:20.545
00:15:20.545,00:15:22.839
00:15:22.839,00:15:44.318
00:15:44.318,00:15:49.448
00:15:49.448,00:15:53.995
00:15:53.995,00:15:54.954
00:15:54.954,00:15:56.998
00:15:56.998,00:15:59.000
00:15:59.000,00:16:01.711
00:16:01.711,00:16:04.839
00:16:04.839,00:16:05.840
00:16:05.840,00:16:06.883
00:16:06.883,00:16:08.593
00:16:08.593,00:16:10.678
00:16:10.678,00:16:11.888
00:16:11.888,00:16:13.848
00:16:13.848,00:16:15.349
00:16:15.349,00:16:16.267
00:16:16.267,00:16:17.018
00:16:17.018,00:16:18.019
00:16:18.019,00:16:19.729
00:16:19.729,00:16:20.980
00:16:20.980,00:16:22.648
00:16:22.648,00:16:24.692
00:16:24.692,00:16:32.366
00:16:32.366,00:16:36.537
00:16:36.537,00:16:37.371
00:16:37.371,00:16:39.999
00:16:39.999,00:16:41.209
00:16:41.209,00:16:44.128
00:16:44.128,00:16:45.755
00:16:45.755,00:16:50.593
00:16:50.593,00:16:55.389
00:16:55.389,00:16:57.642
00:16:57.642,00:16:58.935
00:16:58.935,00:17:00.895
00:17:00.895,00:17:01.896
00:17:01.896,00:17:05.900
00:17:05.900,00:17:07.944
00:17:07.944,00:17:09.028
00:17:09.028,00:17:11.489
00:17:11.489,00:17:12.615
00:17:12.615,00:17:18.996
00:17:18.996,00:17:20.915
00:17:20.915,00:17:24.293
00:17:24.293,00:17:27.797
00:17:27.797,00:17:30.091
00:17:30.091,00:17:37.682
00:17:37.682,00:17:43.229
00:17:43.229,00:17:44.438
00:17:44.438,00:17:46.774
00:17:46.774,00:17:48.442
00:17:48.442,00:17:49.735
00:17:49.735,00:17:52.530
00:17:52.530,00:18:02.081
00:18:02.081,00:18:05.126
00:18:05.126,00:18:07.169
00:18:07.169,00:18:08.254
00:18:08.254,00:18:09.714
00:18:09.714,00:18:12.883
00:18:12.883,00:18:20.975
